Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Switzerland,CHE,1965,0,,0,0,71.25541,0,,14.833333,96.37957,0,,0,0,71.25541,0,,14.833333,96.37957
Switzerland,CHE,1966,0,,0,0,81.37223,0,,12.263888,102.46806,0,,0,0,81.37223,0,,12.263888,102.46806
Switzerland,CHE,1967,0,,0,0,88.266754,0,,10.344444,110.83246,0,,0,0,88.266754,0,,10.344444,110.83246
Switzerland,CHE,1968,0,,0,0,87.27654,0,0,9.777778,122.93266,0,,0,0,87.27654,0,0,9.777778,122.93266
Switzerland,CHE,1969,0,,0,0,83.52055,1.5180706,0.0025000002,8.844444,133.68282,0,,0,0,83.52055,1.5180706,0.0025000002,8.844444,133.68282
Switzerland,CHE,1970,0,,0,0,86.263145,5.0110517,0.385,7.5888886,149.8176,0,,0,0,86.263145,5.0110517,0.385,7.5888886,149.8176
Switzerland,CHE,1971,0,,0,0,85.88198,3.9469833,0.93,5.125,158.97957,0,,0,0,85.88198,3.9469833,0.93,5.125,158.97957
Switzerland,CHE,1972,0,,0,0,71.659775,10.896057,1.1800001,4.336111,162.9895,0,,0,0,71.659775,10.896057,1.1800001,4.336111,162.9895
Switzerland,CHE,1973,0,,0,0,78.61631,17.90472,1.5975,4.116667,175.4158,0,,0,0,78.61631,17.90472,1.5975,4.116667,175.4158
Switzerland,CHE,1974,0,,0,0,82.35331,20.05272,3.3649998,3.5500002,156.1069,0,,0,0,82.35331,20.05272,3.3649998,3.5500002,156.1069
Switzerland,CHE,1975,0,,0,0,95.320885,22.021954,5.42,2.661111,150.11577,0,,0,0,95.320885,22.021954,5.42,2.661111,150.11577
Switzerland,CHE,1976,0,,0,0,76.43641,22.52703,5.6575003,2.5,156.01619,0,,0,0,76.43641,22.52703,5.6575003,2.5,156.01619
Switzerland,CHE,1977,0,,0,0,103.16901,23.023596,6.46,2.9166667,156.82472,0,,0,0,103.16901,23.023596,6.46,2.9166667,156.82472
Switzerland,CHE,1978,0.3128361,,0,0,93.324135,23.820938,7.0874996,2.625,160.81918,0.3128361,,0,0,93.324135,23.820938,7.0874996,2.625,160.81918
